Date,Day of the Week,Amount,Description,Financial goals and Savings,Method of Payment,Need/Want/Saving
1/17,Friday,2.79,snack,Food,Debit,Want
1/17,Friday,45,Haircut,Entertainment and Recreation,Debit,Want
1/17,Friday,8.22,snack,Food,Debit,Want
1/17,Friday,3.0,water,Food,Debit,Need
1/18,Saturday,8.53,snacks,Food,Credit,Want
1/18,Saturday,10.27,Saruku,Food,Debit,Need
1/18,Saturday,4,snack,Food,Debit,Want
1/18,Saturday,10,car wash,Bills,Debit,Want
1/18,Saturday,35,gas,Travel,Debit,Need
1/18,Saturday,4,notebooks,Bills,Debit,Need
1/18,Saturday,33.54,plushie,Entertainment and Recreation,Debit,Want
1/18,Saturday,4.62,chicken,Food,Debit,Need
1/18,Saturday,2.99,car wash,Bills,Debit,Want
1/19,Sunday,4.98,snack,Food,Debit,Want
1/19,Sunday,11.99,spotify,Entertainment and Recreation,Debit,Want
1/19,Sunday,13.62,Saruku,Food,Debit,Need
1/19,Sunday,5.93,snack,Food,Debit,Want
1/19,Sunday,4.00,snack,Food,Debit,Want
1/19,Sunday,10.42,taco bell,Food,Debit,Want
1/20,Monday,12.54,saruku,Food,Credit,Need
1/21,Tuesday,11.54,Burrito,Food,Credit,Need
1/21,Tuesday,3.94,drink,Food,Credit,Want
1/21,Tuesday,18.02,Chipotle,Food,Credit,Need
1/21,Tuesday,0.99,Phone storage,Bills,Credit,Need
1/22,Wednesday,5.97,snacks,Food,Debit,Want
1/22,Wednesday,22.50,Lottery ticket,Entertainment and Recreation,Cash,Want
1/23,Thursday,24.41,Grocery,Food,Debit,Need
1/23,Thursday,77.99,Gas,Travel,Debit,Need
1/24,Friday,619.20,Water,Bills,Debit,Need
1/24,Friday,9.29,Grocery,Food,Debit,Need
1/24,Friday,7.03,Snack,Food,Debit,Want
1/24,Friday,12.83,saruku,Food,Debit,Need
1/24,Friday,1.75,Gatorade,Food,Debit,Need
1/25,Saturday,128.00,Turbotax,Bills,Debit,Need
1/25,Saturday,8.64,Grocery,Food,Debit,Need
1/25,Saturday,10.00,Wifi,Bills,Debit,Need
1/26,Sunday,42.42,Gas,Travel,Debit,Need
1/26,Sunday,90.36,Costco,Food,Debit,Need
1/26,Sunday,15.38,Sarku,Food,Credit,Need
1/26,Sunday,14.75,Movies,Entertainment and Recreation,Credit,Want
1/26,Sunday,10.85,Snacks,Food,Credit,Want
1/27,Monday,2.89,water,Food,Credit,Need
1/28,Tuesday,3.99,Food,Food,Debit,Need
1/28,Tuesday,3.19,Food,Food,Debit,Need
1/29,Wednesday,13.14,Alfredo Pasta,Food,Debit,Need
1/29,Wednesday,3.19,Salad,Food,Debit,Need
